h,delta_y,delta_Runge
0.1,1.03915,0.026617
0.1,3.37905,0.118359
0.1,11.626,0.681517
0.1,69.5509,nan
0.1,1.91387E+046,nan
,,
,,
0.01,2.38049,0.166838
0.01,2.8142,0.193253
0.01,3.35471,0.225039
0.01,4.03681,0.263698
0.01,4.9097,0.311293
0.01,6.04457,0.370717
0.01,7.54691,0.446129
0.01,9.57735,0.543677
0.01,12.3885,0.672751
0.01,16.3925,0.848281
,,
,,
0.001,1.43458,0.566948
0.001,1.47555,0.578901
0.001,1.51807,0.591202
0.001,1.56222,0.603864
0.001,1.60808,0.616902
0.001,1.65572,0.630329
0.001,1.70524,0.644161
0.001,1.75673,0.658415
0.001,1.81029,0.673109
0.001,1.86602,0.688258
