T	h	delta_x	delta_z
2pi	0.1	0.0168139	0.000141381
2pi	0.01	0.00681464	2.32199e-05
2pi	0.001	0.000814693	3.31862e-07
10pi	0.1	0.0839745	0.00353218
10pi	0.01	0.00407345	8.29654e-06
10pi	0.001	7.34641e-05	2.69849e-09
100pi	0.1	0.0407235	0.000830409
100pi	0.01	0.000734641	2.69857e-07
100pi	0.001	0.000734641	2.69849e-07
1000pi	0.1	0.00734777	3.5624e-05
1000pi	0.01	0.00734634	2.69848e-05
1000pi	0.001	0.00034641	6e-08
10000pi	0.1	0.0734066	0.00278442
10000pi	0.01	0.0034641	6.00087e-06
10000pi	0.001	0.000464102	1.07696e-07
100000pi	0.1	0.0347532	0.00146708
100000pi	0.01	0.004641	1.07782e-05
100000pi	0.001	0.00264102	3.48749e-06
